type,blender,japanese,english
MORPH,eyeclose L,,eyeclose L
MORPH,まばたき,,blink
MORPH,笑い,,smile
MORPH,Pony Hairs,,Pony Hairs
DISPLAY,mmd_shadow,,
DISPLAY,mmd_dummy,,
DISPLAY,Root,,
DISPLAY,IK,,
DISPLAY,Center,,
DISPLAY,体(上),,
DISPLAY,Hair,,
DISPLAY,Arm,,
DISPLAY,指,,
DISPLAY,体(下),,
DISPLAY,Leg,,
MATERIAL,earpad,earpad,earpad
MATERIAL,Shoes,Shoes,Shoes
MATERIAL,cloth,cloth,cloth
MATERIAL,cloths in,cloths in,cloths in
MATERIAL,Cloths in (hide),Cloths in (hide),Cloths in (hide)
MATERIAL,R_Eyes,R_Eyes,R_Eyes
MATERIAL,L_Eyes,L_Eyes,L_Eyes
MATERIAL,Hair Side,Hair Side,Hair Side
MATERIAL,base hair,base hair,base hair
MATERIAL,Hair bang 0,Hair bang 0,Hair bang 0
MATERIAL,Hair bang 1,Hair bang 1,Hair bang 1
MATERIAL,Hair bang 2,Hair bang 2,Hair bang 2
MATERIAL,Hair bang 3,Hair bang 3,Hair bang 3
MATERIAL,Hair Long 0,Hair Long 0,Hair Long 0
MATERIAL,Hair Long 1,Hair Long 1,Hair Long 1
MATERIAL,Hair Long 2,Hair Long 2,Hair Long 2
MATERIAL,Hair Long 3,Hair Long 3,Hair Long 3
MATERIAL,Hair Long 4,Hair Long 4,Hair Long 4
MATERIAL,Hair Long 5,Hair Long 5,Hair Long 5
MATERIAL,Hair Long 6,Hair Long 6,Hair Long 6
MATERIAL,Hair Long 7,Hair Long 7,Hair Long 7
MATERIAL,Hair Long 8,Hair Long 8,Hair Long 8
MATERIAL,Hair Long 9,Hair Long 9,Hair Long 9
MATERIAL,Hair Long 10,Hair Long 10,Hair Long 10
MATERIAL,Hair Pony base (hide),Hair Pony base (hide),Hair Pony base (hide)
MATERIAL,Another Bng (hide),Another Bng (hide),Another Bng (hide)
MATERIAL,Hair Pony 0,Hair Pony 0,Hair Pony 0
MATERIAL,Hair Pony 1,Hair Pony 1,Hair Pony 1
MATERIAL,Hair Pony 2,Hair Pony 2,Hair Pony 2
MATERIAL,body,body,body
MATERIAL,body (upper),body (upper),body (upper)
MATERIAL,body -hide,body -hide,body -hide
MATERIAL,skirt //hide,skirt //hide,skirt //hide
MATERIAL,New ,New ,5_skirt.material01_1_0_0
MATERIAL,rib + pin,rib + pin,rib + pin
MATERIAL,sweater,sweater,sweater
MATERIAL,Material 3,Material 3,Material 3
MATERIAL,Tounge,Tounge,Tounge
MATERIAL,Lower Teeth,Lower Teeth,Lower Teeth
MATERIAL,Upper Teeth,Upper Teeth,Upper Teeth
MATERIAL,New _001,New .001,New _001
MATERIAL,clothx2,clothx2,clothx2
MATERIAL,skirtx2,skirtx2,skirtx2
